id,source,languaje,text,task1
29,twitter,es,"@PFuerzaPopular @OrgulloFUJIMORI LA MAFIA KEIKO SEGÚN GALARRETA
https://t.co/TlpXIN12uE",noAcoso
30,twitter,es,"@PFuerzaPopular @OrgulloFUJIMORI AUN VOTARAN POR ESTA POLITICA? UNIVERSIDAD DE VIRGINIA
https://t.co/SWmyHYCq0M",noAcoso
31,twitter,es,"@PFuerzaPopular @OrgulloFUJIMORI NO REPITAMOS LA HISTORIA. EL PERU NO SABIA QUE ERA UN JAPONES.
https://t.co/61VbfXJvTa",noAcoso
32,twitter,es,@PFuerzaPopular @patty_juarez_ Está asiática hipócrita terrorista x delante la hipocresía y por detrás la corrupció… https://t.co/3bb5NBvFyn,acoso
33,twitter,es,RT @luchogalarreta: Muchas gracias a todos los peruanos que han querido volver a vivir los grandes logros de la década del noventa guiados…,noAcoso
34,twitter,es,"¿QUIERES PARTICIPAR EN LA CLASE DEL CHINO?
Serán 20 clases de Alberto Fujimori difundidas durante 4 semanas. Las in… https://t.co/eMZtpDMxDh",noAcoso
35,twitter,es,RT @KeikoFujimori: Tengo el honor de anunciar la incorporación de un gran profesor a la Escuela Naranja: ALBERTO FUJIMORI en LA CLASE DEL C…,noAcoso
36,twitter,es,Patricia Juárez se suma a nuestro equipo de Plan de Gobierno. ¡Bienvenida Patty! (VIDEO) https://t.co/5FqVsP2Ado,noAcoso
37,twitter,es,"@KeikoFujimori Patricia Juarez ordenó el caos vehicular. Lo padecemos hoy !!!! 
https://t.co/DeQjDYjtha",noAcoso
38,twitter,es,@KeikoFujimori Jajajajaj soñar no cuesta nada xd,noAcoso
39,twitter,es,"@KeikoFujimori Ahora escoge bien NO te lleves JUDAS Y CHUPAMEDIAS AL PARTIDO, si la JODES por 2da. mejor RETIRATE d… https://t.co/V9JPRbpD1o",acoso
40,twitter,es,@KeikoFujimori Ese partido de mierda ya fracasó,acoso
41,twitter,es,Tengo el honor de anunciar la incorporación de un gran profesor a la Escuela Naranja: ALBERTO FUJIMORI en LA CLASE… https://t.co/6SrcskfOm7,noAcoso
42,twitter,es,@pepecistas Ahora sí a celebrar por la muerte del Ppc,acoso
43,twitter,es,"UPP jamás presentó un Proyecto de Ley para reelegir a los congresistas complementarios. 

Desde un inicio rechazamo… https://t.co/YWkzhHIa7p",noAcoso
44,twitter,es,@PeruUPP Pero si desean la vacancia y liberar a un asesino de policías!!!...,acoso
45,twitter,es,"@PeruUPP Sin embargo, quieren desestabilizar el país no?
Igual es! Antauro seguirá feliz en prisión, llevenle sudocus para que se distraiga",noAcoso
46,twitter,es,@PeruUPP Golpistas 👎,acoso
47,twitter,es,@PeruUPP Partido de terroristas ... son una tira de delincuentes... jamás votaría para un nuevo gobierno se está en… https://t.co/WyCe8JRc9t,acoso
48,twitter,es,@PeruUPP Oe toda la pandemia se ma han pasado jodiendo con su vacancia del demonio! Ya aburren! TRABAJEN EN ALGO QU… https://t.co/KKpkipVIQX,acoso
49,twitter,es,"RT @MaqueraChavez: El relato de este combate, nos debe hacer reflexionar sobre el reto que tiene nuestra patria, que es el de continuar la…",acoso
50,twitter,es,RT @EdgarAlarconT: Seguimos investigando el #CasoSwing hasta conocer la verdad; pese a los hilos que se mueven para frustrar esta labor y e…,noAcoso
51,twitter,es,RT @Omarquesadamart: Homenaje al mártir Manuel Arévalo C. asesinado cobardemente y por la espalda por la policía política de quienes como h…,noAcoso
52,twitter,es,"@ApraDigital DÓNDE ESTA LA VIRTUD DE LA HONRADEZ. DON VÍCTOR RAÚL NO QUISO QUE UN APRISTA SUBA AL GOBIERNO, PORQUE… https://t.co/I2o5yoNlYE",noAcoso
53,twitter,es,"RT @yturbe_: Hoy #12deOctubre se celebra 120 años del nacimiento de una de las mentes más brillantes del Perú.
Luis Alberto Sánchez, tres v…",noAcoso
54,twitter,es,"RT @RicardoPinedoC: Honor y Gloria a María Huapaya, mártir del Apra. Enfrentó con su fe a los terroristas y escribió en su pizarra :”No tem…",noAcoso
55,twitter,es,RT @Rafaellavp: Hace un año por el #DiaDeLaMujerAprista ⭐ ya nos tocará junte nuevamente. @UrsulaPeru @PatriciaTubilla @VanePinkLover05 @fa…,noAcoso
56,twitter,es,RT @PodemosPepeLuna: 100% de la AFP o 4UITs. La decisión final será este 31 de octubre. Ambos escenarios son posibles gracias a una lucha c…,noAcoso
57,twitter,es,"RT @TuAmigoAron: Mi total apoyo y mis mejores deseos de pronta recuperación al presidente de nuestro partido, José Luna Gálvez, quien se en…",noAcoso
58,twitter,es,"RT @TuAmigoAron: @podemos_peru, el partido del pueblo NO NEGOCIA y exige la liberación del 100 % de los aportes de la AFP de 7.2 M de perua…",noAcoso
59,twitter,es,@podemos_peru La obstrucción de la Fiscal de la Nación a favor d Martin Vizcarra s exagerada y vergonzoza d su part… https://t.co/XNAgawlF9t,noAcoso
60,twitter,es,RT @exitosape: 🔵🔴 #URGENTE I Congresista Cecilia García presenta proyecto de ley para reducir el salario de los parlamentarios en un 50%.…,noAcoso
61,twitter,es,Lamentamos que personas ajenas al partido de manera inescrupulosa engañen a los medios de comunicación. La sra. Roc… https://t.co/0HjXo4o6WQ,noAcoso
62,twitter,es,"@SomosPeruOf @larepublica_pe Somos Perú osea los Hermanitos del congreso geishas vizcarratas, aclarando que la decencia no es parte de ellos",acoso
63,twitter,es,"@SomosPeruOf @larepublica_pe La señora Rocio no es militante, el partido Somos Perú es un partido democrático e ins… https://t.co/o5dsRm0rMg",noAcoso
64,twitter,es,@SomosPeruOf @larepublica_pe Es lamentable que se le siga dando vitrina a personas que no tienen militancia en el p… https://t.co/zZETf1JS7B,noAcoso
65,twitter,es,"RT @arb_david: @SomosPeruOf @larepublica_pe El partido SP no es una empresa familiar, verdaderos militantes, son los que definen el destino…",noAcoso
66,twitter,es,RT @SalasZ_AA: @SomosPeruOf @larepublica_pe Un apellido no da derecho y menos sin militancia a reclamar se debe respetar el legado de un ho…,noAcoso
67,twitter,es,"📌Nuestro congresista, Mariano Yupanqui, acaba de asumir este importante cargo. Todos los éxitos para él y su equipo… https://t.co/gKUb1WdXs6",noAcoso
68,twitter,es,Mañana en la subcomisión de Acusaciones votaremos a favor de la admisión para levantar el fuero a nuestro militante… https://t.co/Dt3jAmBXKH,noAcoso
69,twitter,es,"@dsalaverryv
yo soy de los que cree que las lealtades no tiene que ser tanto a las personas sino hacia los princip… https://t.co/PAEoMrWCPc",noAcoso
70,twitter,es,"En el Día Internacional Contra el Cambio Climático, reflexionemos sobre el ahorro de energía y el reciclaje de dive… https://t.co/SXJ0RVia3Y",noAcoso
71,twitter,es,@FrepapBancada Y Escazú?? Se nota q no tienen un buen asesor y q no están preparados paramla responsabilidad q conl… https://t.co/q2YjGwVfKK,noAcoso
72,twitter,es,"@FrepapBancada Hipócritas, votaron en contra del acuerdo de #Esaczu. Apoyan a mafias de la tala de árboles, minería ilegal.",acoso
73,twitter,es,@FrepapBancada Pirañas,acoso
74,twitter,es,"RT @levirey: @FrepapBancada Incoherentes. No han leído todas las bondades de Escazú y no lo han ratificado, ahora de las dan de corazón ver…",noAcoso
75,twitter,es,@FrepapBancada Y qué pasó con el #AcuerdoDeEscazu,noAcoso
76,twitter,es,"la cual fue discutida en la Comisión de Cultura, presidida por nuestro congresista @AlcidesRaymeM.

Desde la bancad… https://t.co/Zpupuve1FW",noAcoso
77,twitter,es,"Hoy, en el #PlenoVirtual del @congresoperu, votamos a favor del texto sustitutorio que declara de interés nacional… https://t.co/nXm7lZZKL0",noAcoso
78,twitter,es,"@FrepapBancada Hipócritas, votaron en contra del acuerdo de #Esaczu. Apoyan a mafias de la tala de árboles, minería ilegal.",noAcoso
79,twitter,es,"Desde la bancada del Frepap, seguiremos trabajando por la inclusión social y económica de todos los peruanos. (2/2)… https://t.co/9jIzHd9kpf",noAcoso
80,twitter,es,En nuestra visita a Puno también visitamos el distrito de Taraco para supervisar una megaoperación Tayta contra el… https://t.co/ehFheioodW,noAcoso
81,twitter,es,"RT @Jali_Cotrina: @WalterMartosR Enfrente la realidad: Su jefe el presidente Vizcarra todos los días tiene nuevas denuncias de corrupción,…",noAcoso
82,twitter,es,"Los niños tienen una capacidad increíble para aprender, solo hay que darles las herramientas. Hoy, junto al ministr… https://t.co/A751WLESLK",noAcoso
83,twitter,es,"Tuve el privilegio de recibir en Machupicchu el sello ""Safe Travels"" que certifica al Perú como un destino con los… https://t.co/K7fqYxXJyv",noAcoso
84,twitter,es,"Cuando trabajamos juntos Estado y empresa privada podemos lograr muchas cosas. Hoy participé, junto a la presidenta… https://t.co/bvNO2bw04R",noAcoso
85,twitter,es,eres un puto de mierda,acoso
86,twitter,es,"probablemente te salga en tu tl, entonces quiero decirte que eres una perra hijueputa",acoso
87,twitter,es,"Si coqueteas con una persona y sabes que tiene pareja, eres una perra basura",acoso
88,twitter,es,Chingas a tu perra madre pinche pelón de mierda eres una cagada deja al @CH14_ que por tu filosofía pendeja lo haz dañado maldito pelón,acoso
89,twitter,es,Trabaja hasta que la gente diga el hijo de puta lo logró.,acoso
90,twitter,es,"tenes que ser muuuy hijo d puta para que t guste el helado de chocolate, es incomible",acoso
91,twitter,es,"Demuestra lo que sientes y chúpame la pinga, buenas noches",acoso
92,twitter,es,Chupame la pinga rctmre,acoso
93,twitter,es,"Porque has dicho que ""la política es la mayor basura que se ha inventado...."" ""paso de votar"" y quiero saber si eres otro fascista de mierda o lo tuyo es ""puro teatro""""",acoso
94,twitter,es,"Insisten en darnos a elegir entre la basura, como dijo el presidente, a rogar porque gane el mal menor. Política de mierda, cuanto daño le haces al Perú.",acoso
95,twitter,es,"Me maravilla el ritmo al que se suceden los escándalos, corruptelas e ilegalidades del gobierno actual para que al olvidadizo cerebro español no le de tiempo a procesar semejante caudal de basura política. Somo como moscas volando de mierda en mierda al son de unos mediocres.",acoso
96,twitter,es,"La política es un gran océano de pura basura social. No sólo en España, en el mundo entero, los valores lo han convertido en pequeños complejos para poder soportarnos los unos y los otros para implementar la globalización, una puta mierda globalizada.",acoso
97,twitter,es,"Odio la política en general y TODOS lo políticos me parecen una mierda pero el peronismo en particular lo considero uno de los mayores cancer de argentina ya que en mis cortos 25 años e visto cada basura hacer mierda el país en el nombre del peronismo, Perón los está meando hoy✌🏼",acoso
98,twitter,es,Pinche viejo ratero priista de cuna un dinosaurio de la politica mexican ratero corrupto de mierda jajajaja,acoso
99,twitter,es,Ayyyy si!!! No veo diferencia alguna entre el PRIAN (rateros de mierda) AMLO (ratero de mierda) o cualquier elemento de la clase política de este país (rateros de mierda). Tú y todos esos creyentes del mesías que no existe!!!!!,acoso
100,twitter,es,Tu mero chinga tu madre! Y ya deja de hacerle a la mamada que no vas a ganar pinche ratero! Politica de mierda !! De todos no se hace ninguno! En donde esta el cambio que todos los presidentes dicen que van a hacer cuando estan en elecciones? Oh yaa se quedaron en el olvido!!,acoso
101,twitter,es,"El único compromiso que tienes es contigo mismo, eres un Chapulín más de la política, estas donde mejor te conviene pinche ratero de mierda.",acoso
102,twitter,es,Callate imbesil,acoso
103,twitter,es,q me ves puto imbesil,acoso
104,twitter,es,Bachiller imbesil,acoso
105,twitter,es,terrorista de mierda deja de apoyar la vacancia,acoso
106,twitter,es,"Esperemos que el Presidente Martín Vizcarra no vulnere estas #Elecciones2021, porque él querrá promover, impulsar y manipular para que el próximo Presidente esté a su medida y lo ayude a evadir a la justicia. Estemos alerta!",noAcoso
107,twitter,es,Hola muchach@s espero tenga un buen y tranquilo día tod@s cuídensen mucho #FelizDomingoATodos los quieroRaising handsSmiling face with smiling eyesFace throwing a kisssi va celebrar que sea con conciencia y prudenciaFlexed bicepsFour leaf clover #Elecciones2021 a mi envienme ánimo Loudly crying faceLoudly crying face solo espero llegar temorano a ducharme y comer bien Pig faceLoudly crying face nos leemos Winking face✌,noAcoso
108,twitter,es,"Con la izquierda no se transa, a la izquierda se la combate #Elecciones2021 #Perú",noAcoso
109,twitter,es,"George Forsyth sobre Restauración Nacional: “Soy parte de otra generación, vamos a cambiar la ideología”",noAcoso
110,twitter,es,"Y que labores sociales ha hecho? / como quedó el tema con su esposa? / porque dejar el cargo de alcalde, fue un trampolín para su ambición política!!! - Frowning faceFrowning faceFrowning face",noAcoso
111,twitter,es,"Un candidato sin partido, sin experiencia política, sin estudios superiores que solamente utizo a una mujer para llegar a la municipalidad. Haría cualquier cosa por llegar al poder. Sin escrúpulos.",noAcoso
112,twitter,es,"Segun LA REPÚBLICA, ya ganó Forsyth. Perú sí a Forsyth no lo conocen en el Perú, y menos a su partido.??? Empezó la fiesta para los PERIÓDICOS y las Encuestadoras. A cobrar se ha dicho!!",noAcoso
113,twitter,es,@gvillasis ya aburre tanto con sus cosas como la campaña de medios de forsyth,noAcoso
114,twitter,es,"o cazo un fulbo de algunos textos de Oslack. No sé para que mierda estudio ciencia política si soy un burro, dios.",acoso
115,twitter,es,"@rrominadonato 

@lucasrusailh 
economia Y politica, ni el nombre sabe el hijo de puta jajajajajajjaa",acoso
116,twitter,es,"@lujimoreno 

@LucasRusailh 
Jjaajajajja mal burro de mierda, es ""Economia Politica""",acoso
117,twitter,es,"""Ago politica"" JAJAJJAJAJAJAAJAJAJJAJA 

qué burro de mierda este Lauti",acoso
118,twitter,es,"Por eso estamos cagados,no les interesa la corrupción,solo el rival politico,BURRO DE MIERDA",acoso
119,twitter,es,"Así que nos hemos comido test que fallan. Si cuando pase esta mierda no sale la idea general de que tenemos que tener fábricas a saco, será pa ponernos el capirote con orejas de burro. 

Me da igual a quién se eche la culpa política mientras se acepte esta base.",acoso
120,twitter,es,María Mercedes Cuesta: bien dicen que los políticos son bien hipócritas y me da asco escucharlos. Proféticas sus palabras.,acoso
121,twitter,es,"No sé si Vizcarra sea un corrupto, no pongo las manos al fuego por nadie. Pero haber guardado la compostura en esa entrevista lo deja muy bien parado.
",noAcoso
122,twitter,es,"Mi nieta de 9 años leyó a Uceda y subrayó 2 párrafos:""El delito de cohecho, por el que se incrimina al Presidente. NO FIGURA COMO CAUSAL DE VACANCIA"" ""NO SE HA DEMOSTRADO QUE VIZCARRA SEA UN CORRUPTO"". Entonces de qué urgente vacancia habías. El futuro oscuro es para los partidos 
Quote Tweet",noAcoso
123,twitter,es,corrupto de mierda,acoso
124,twitter,es,burro de mierda,acoso
125,twitter,es,Vizcarra debe ser vacado porque así lo debe recordar la historia. El presidente vacado por CORRUPTO.,acoso
126,twitter,es,"Si Martín Vizcarra no es vacado, esperemos una campaña electoral con una intromisión grosera del corrupto gobernante a quien lo veremos a diario pidiendo votar por un candidato joven. Con un pie en prisión, hará todo lo posible para dejar un títere en Palacio. Advertidos estamos.",acoso
127,twitter,es,"QUE TAL CUAJO DE VIZCARRA ACUSAR A OTROS DE CORRUPTOS, CUANDO EL ES UN CORRUPTO, COIMERO, DELINCUENTE..POR ESO SE ENCARGO DE PERSEGUIR AL EX FISCAL PEDRO CHAVARRY, LOGRAR SACARLO DE FISCALIA Y PONER A SU COMPINCHE ZORAIDA AVALOS.. ENCARCELO A KEIKO FUJIMORI, CERRO EL CONGRESO",acoso
128,twitter,es,golpista de mierda,acoso
129,twitter,es,No olvidemos que Vizcarra dió un golpe de estado y es un presidente de facto. No personifica a la nación ni merece ningún respeto. Es un golpista corrupto,acoso
130,twitter,es,Deberías renunciar “rapidito” corrupto e inmoral de mierda.,acoso
131,twitter,es,"Ricardo Uceda: ""Un corrupto desde el poder puede causar daños irreparables al Sistema""",acoso
132,twitter,es,"Salazar: “Vizcarra nos decía corruptos, cuando el corrupto era él”",acoso
133,twitter,es,HASTA CUANDO VAMOS A TENER A OTRO RATERO EN LA PRESIDENCIA?. ÉSTE VIZCARRA VA A ROBAR Y MENTIR HASTA EL 28 DE JULIO DE 2021. CUIDADO CON UN FRAUDE ELECTORAL. ÉSTE SUJETO ES CAPAZ DE HACER CUALQUIER DELITO PARA TENER PODER.,acoso
134,twitter,es,"Que rica mermerlada para el esposo de la chichi valenzuela, se la llevan facil estos guaripoleros sobones del ratero vizcarra",acoso
135,twitter,es,LA BASURA DE CONGRESO KE TIENE ÉL PERU DEBERÍA DESTITUIR A LA FISCAL DE LA NACIÓN SIN NINGÚNA DUDA - MENTIRA KE POR LA PANDEMIA O POR LA CERCANÍA DE LAS ELECCIONES NO SE LE DEBA VACAR AL DELINCUENTE VIZCARRA - ES AL REVÉS ESTE RATERO NO DEBE CONTINUAR UN MINUTO MÁS DE PRESIDENTE,acoso
136,twitter,es,Opiniones de un cabronazo ..,acoso
137,twitter,es,"Ahora voy a demostrar que estoy mintiendo, cabronazo",acoso
138,twitter,es,"Bien hecho, cabronazo ..",acoso
139,twitter,es,"Erick, que cabronazo.",acoso
140,twitter,es,"Shush! '' Cállate, que cabronazo ..",acoso
141,twitter,es,cabronazo Foff !.,acoso
142,twitter,es,Retweet este si tú piensa que .MrPatriarch12 es un cholo ..,acoso
143,twitter,es,Y tú eres probablemente un cholo.,acoso
144,twitter,es,tú es una perra hecho chola,acoso
145,twitter,es,Volver a adorar las vacas que mierda tonto.,acoso
146,twitter,es,Jódete.,acoso
147,twitter,es,Jódete hombre la paciencia es una virtud.,acoso
148,twitter,es,marica beso.,acoso
149,twitter,es,"Estos miserables parasitos caviarones del estado son tan carepalos doble moral, recuerdo como maldecian y se desangraban por atacar a chavarry, pero ahora que la titere Zoraida Avalos es la FN, ahora si las competencias, orden jerarquico, todo pa blindar al ratero Vizcarra",acoso
150,twitter,es,Magaly Medina defiende a Augusto Thorndike: «Los periodistas estamos para incomodar y no para ser geishas»,acoso
151,twitter,es,Le doy la razón a la Urraca.Personalmente no me agrada Thorndike pero no me parecio irrespetuoso y si lo consideran asi s pq Vizcarra se lo merece. Ningun respeto para un RATERO MENTIROSO.,acoso
152,twitter,es,"Police cars revolving lightAdemás, un sector del Frente Amplio sospecha de una presunta colusión entre el líder de esta agrupación, Marco Arana, con el presidente Martín Vizcarra.",acoso
153,twitter,es,"Vizcarra ratero mitomano carepalo, tu no garantizas elecciones limpias sucio mafioso",acoso
154,twitter,es,"Entonces que un ratero entreviste a Vizcarra,esa es la talla pareja",acoso
155,twitter,es,Thorndike confunde ser incisivo con ser altanero. Merecemos un periodismo que dé la talla.,noAcoso
156,twitter,es,"Osea Vizcarra aun para la compra de test queria sacar su coima, este vizcarra mitomano ratero es un sin verguenza",acoso
157,twitter,es,La cloaca de junta con la cloaca,acoso
158,twitter,es,"Vizcarra: hago obra, hospital moquegua, pero igual robo. Ratero descarado",acoso
159,twitter,es,"MV: “me llega un pedido de vacancia...no sé si será una vez por mes”. MV en modo victimización. No confunda, hay nuevos y graves hechos. “Quién quiere patear el tablero de la democracia”, dice. No señor, usted está complicado por serias y graves denuncias.",noAcoso
160,twitter,es,"Definitivamente la gente no votará por la izquierda ,puesto que Vizcarra está rodeado de izquierdas y estos demostraron ser los más ratero d la historia.",noAcoso
161,twitter,es,"Esta gilaza piensan que el congreso le roba, no sabe que su papi Vizcarra es el verdadero ratero",acoso
162,twitter,es,..jimmykimmel tú es un idiota.,acoso
163,twitter,es,.jimmykimmel tú es una pieza inútil de mierda! '' Ir a la mierda.,acoso
164,twitter,es,"En otras palabras, tú es un pedazo de mierda inútil de mierda ... .vizcarra #DieAlready.",acoso
165,twitter,es,"¿qué quiere decir ""qué"" es tú un idiota.",acoso
166,twitter,es,Lo .. tú es un idiota ?.,acoso
167,twitter,es,Sr. de Niro son un idiota.,acoso
168,twitter,es,Sean Hannity tú es un idiota ..,acoso
169,twitter,es,vizcarra Eres realmente un idiota !.,acoso
170,twitter,es,Eres un idiota..,acoso
171,twitter,es,Eres un idiota. '' Privilegio por supuesto.,acoso
172,twitter,es,vizcarra Eres un idiota Ffn.,acoso
173,twitter,es,Esto ocurre cuando tú es un idiota ...,acoso
174,twitter,es,No tú también nadie se preocupa por estas putas.,acoso
175,twitter,es,Lo que es un puto marica.,acoso
176,twitter,es,Puto marica perezoso.,acoso
177,twitter,es,"oi maldito bicho raro. ' 'Stop chat mierda.',' marica estúpido ..",acoso
178,twitter,es,"Querías la bestia, puto marica, así que ahora va a puto lo consigue.",acoso
179,twitter,es,Lo que es un marica.,acoso
180,twitter,es,"otro marica insegura, lo que es un suprsie.",acoso
181,twitter,es,"Vaya, qué marica.",acoso
182,twitter,es,"IngrahamAngle tú es un bajo, gordo, puta ..",acoso
183,twitter,es,"Tampoco solicito la suya., ¿Eres un retardado? Creo que tal vez tú está ..",acoso
184,twitter,es,Eres retrasado.,acoso
185,twitter,es,"Sr., ¿por qué usted sigue amando a Martín Vizcarra a pesar de todas las evidencias de corrupción?",acoso
186,twitter,es,"Martín Vizcarra: No participaremos en las elecciones, pero garantizaremos que sean transparentes",noAcoso
187,twitter,es,"Manuel Merino de AP no esta apto para ser presidente. El gobierno deber ser elegido vía elecciones y en democracia. 

Vizcarra debe terminar su período, luego ser juzgado y procesado si así corresponde, pero no debemos permitir que las mafias retomen el poder fraudulentamente.",noAcoso
188,twitter,es,"Amiguito ve a recogerle a vizcarra y a swing los condones usados en palacio, pero igual el ratero mitomano corrupto de Vizcarra se va a la carcel.",acoso
189,twitter,es,"Ve a recogerle los condones usados a tu jefe Vizcarra miseravle troll, ya el ratero mitomano carepalo de tu jefe pronto estara en prision",acoso
190,twitter,es,"UPP, cuyo caudillo está sentenciado por rebelión, homicidio simple, arrebato de armas de fuego y secuestro agravado, en perjuicio del Estado y de un grupo de efectivos de la Policía Nacional, presenta nueva moción de vacancia por incapacidad moral. Curiosidades de la vida...",noAcoso
191,twitter,es,"Esos que se dan golpes de pecho y hablan hasta el cansancio de “lucha contra la corrupción” como los Toledo, Humala, Villarán y ahora Vizcarra terminan siendo siempre los mas corruptos!",noAcoso
192,twitter,es,hoy no es un día cualquiera decide líder del PARTIDO NACIONALISTA OLLANTA HUMALA va a participar en la contienda electoral un gobierno transparente con mas de 30 programas en beneficio de los q menos tienen un gobierno q trabajo sin mirar tintes políticos,noAcoso
193,twitter,es,mierda,acoso
194,twitter,es,ignorante ❂,acoso
195,twitter,es,Cholo,acoso
196,twitter,es,perra fea #teamwildside 💅,acoso
197,twitter,es,ABRAZOS DE OSO,noAcoso
198,twitter,es,Se parece a mí pene,acoso
199,twitter,es,lindo.,noAcoso
200,twitter,es,"vizcarra nunca voy a ser capaz de llamar a cualquier otra cosa ahora. ""]",noAcoso
201,twitter,es,Me gustaría hacer esto.,noAcoso
202,twitter,es,Te amo ..,noAcoso
203,twitter,es,"Esto es una mierda tío, otra vez con las ansiedades de mierda, esto es un sin vivir, por favor!! Me quiero ir a vivir a un pueblo, al campo, con las montañas al lado, en plena naturaleza, y desconectar del mundo!! Quiero vida!! Así no se puede vivirPerson gesturing not okShamrockBlossomNational parkSunrise over mountainsEarth globe americasPaw prints",acoso
204,twitter,es,"...y PROTESTAR PARA QUE NUNCA MÁS, HAYA GENTUZA COMO UD.. COMPRENDERÁ...QUE POR SEGUIR CON LA MAMADERA DEL ESTADO CAMBIA DE CAMISETA POLÍTICA COMO SI NADA...Y MAS AÚN DEFIENDE A LA KLOAKA NARANJA.. 
GRACIAS KEIKO POR TANTA MIERDA....!!!",acoso
205,twitter,es,"Miren quien quiere indirectamente administrar tu plata : Fue secretaria nacional de política en Perú Posible del ladrón Toledo, fue ministra del otro ladrón Humala, acusada de tener una consesion minera mientras era congresista y presentar leyes a su favor, Man facepalming",noAcoso
206,twitter,es,"UPP habla de permanente incapacidad moral, su líder Antauro Humala está preso purgando condena. No entiendo.",acoso
